% 1. Title: Database de objetos
% 
% 2. Sources:
%      Cifar-10 Database
% 
@relation imagens

@attribute 'valueof0' real
@attribute 'valueof1' real
@attribute 'valueof2' real
@attribute 'valueof3' real
@attribute 'valueof4' real
@attribute 'valueof5' real
@attribute 'valueof6' real
@attribute 'valueof7' real
@attribute 'valueof8' real
@attribute 'valueof9' real
@attribute 'valueof10' real
@attribute 'valueof11' real
@attribute 'valueof12' real
@attribute 'valueof13' real
@attribute 'valueof14' real
@attribute 'valueof15' real
@attribute 'valueof16' real
@attribute 'valueof17' real
@attribute 'valueof18' real
@attribute 'valueof19' real
@attribute 'valueof20' real
@attribute 'valueof21' real
@attribute 'valueof22' real
@attribute 'valueof23' real
@attribute 'valueof24' real
@attribute 'valueof25' real
@attribute 'valueof26' real
@attribute 'valueof27' real
@attribute 'valueof28' real
@attribute 'valueof29' real
@attribute 'valueof30' real
@attribute 'valueof31' real
@attribute 'valueof32' real
@attribute 'valueof33' real
@attribute 'valueof34' real
@attribute 'valueof35' real
@attribute 'valueof36' real
@attribute 'valueof37' real
@attribute 'valueof38' real
@attribute 'valueof39' real
@attribute 'valueof40' real
@attribute 'valueof41' real
@attribute 'valueof42' real
@attribute 'valueof43' real
@attribute 'valueof44' real
@attribute 'valueof45' real
@attribute 'valueof46' real
@attribute 'valueof47' real
@attribute 'valueof48' real
@attribute 'valueof49' real
@attribute 'valueof50' real
@attribute 'valueof51' real
@attribute 'valueof52' real
@attribute 'valueof53' real
@attribute 'valueof54' real
@attribute 'valueof55' real
@attribute 'valueof56' real
@attribute 'valueof57' real
@attribute 'valueof58' real
@attribute 'valueof59' real
@attribute 'valueof60' real
@attribute 'valueof61' real
@attribute 'valueof62' real
@attribute 'valueof63' real
@attribute 'valueof64' real
@attribute 'valueof65' real
@attribute 'valueof66' real
@attribute 'valueof67' real
@attribute 'valueof68' real
@attribute 'valueof69' real
@attribute 'valueof70' real
@attribute 'valueof71' real
@attribute 'valueof72' real
@attribute 'valueof73' real
@attribute 'valueof74' real
@attribute 'valueof75' real
@attribute 'valueof76' real
@attribute 'valueof77' real
@attribute 'valueof78' real
@attribute 'valueof79' real
@attribute 'valueof80' real
@attribute 'valueof81' real
@attribute 'valueof82' real
@attribute 'valueof83' real
@attribute 'valueof84' real
@attribute 'valueof85' real
@attribute 'valueof86' real
@attribute 'valueof87' real
@attribute 'valueof88' real
@attribute 'valueof89' real
@attribute 'valueof90' real
@attribute 'valueof91' real
@attribute 'valueof92' real
@attribute 'valueof93' real
@attribute 'valueof94' real
@attribute 'valueof95' real
@attribute 'valueof96' real
@attribute 'valueof97' real
@attribute 'valueof98' real
@attribute 'valueof99' real
@attribute 'valueof100' real
@attribute 'valueof101' real
@attribute 'valueof102' real
@attribute 'valueof103' real
@attribute 'valueof104' real
@attribute 'valueof105' real
@attribute 'valueof106' real
@attribute 'valueof107' real
@attribute 'valueof108' real
@attribute 'valueof109' real
@attribute 'valueof110' real
@attribute 'valueof111' real
@attribute 'valueof112' real
@attribute 'valueof113' real
@attribute 'valueof114' real
@attribute 'valueof115' real
@attribute 'valueof116' real
@attribute 'valueof117' real
@attribute 'valueof118' real
@attribute 'valueof119' real
@attribute 'valueof120' real
@attribute 'valueof121' real
@attribute 'valueof122' real
@attribute 'valueof123' real
@attribute 'valueof124' real
@attribute 'valueof125' real
@attribute 'valueof126' real
@attribute 'valueof127' real
@attribute 'valueof128' real
@attribute 'valueof129' real
@attribute 'valueof130' real
@attribute 'valueof131' real
@attribute 'valueof132' real
@attribute 'valueof133' real
@attribute 'valueof134' real
@attribute 'valueof135' real
@attribute 'valueof136' real
@attribute 'valueof137' real
@attribute 'valueof138' real
@attribute 'valueof139' real
@attribute 'valueof140' real
@attribute 'valueof141' real
@attribute 'valueof142' real
@attribute 'valueof143' real
@attribute 'valueof144' real
@attribute 'valueof145' real
@attribute 'valueof146' real
@attribute 'valueof147' real
@attribute 'valueof148' real
@attribute 'valueof149' real
@attribute 'valueof150' real
@attribute 'valueof151' real
@attribute 'valueof152' real
@attribute 'valueof153' real
@attribute 'valueof154' real
@attribute 'valueof155' real
@attribute 'valueof156' real
@attribute 'valueof157' real
@attribute 'valueof158' real
@attribute 'valueof159' real
@attribute 'valueof160' real
@attribute 'valueof161' real
@attribute 'valueof162' real
@attribute 'valueof163' real
@attribute 'valueof164' real
@attribute 'valueof165' real
@attribute 'valueof166' real
@attribute 'valueof167' real
@attribute 'valueof168' real
@attribute 'valueof169' real
@attribute 'valueof170' real
@attribute 'valueof171' real
@attribute 'valueof172' real
@attribute 'valueof173' real
@attribute 'valueof174' real
@attribute 'valueof175' real
@attribute 'valueof176' real
@attribute 'valueof177' real
@attribute 'valueof178' real
@attribute 'valueof179' real
@attribute 'valueof180' real
@attribute 'valueof181' real
@attribute 'valueof182' real
@attribute 'valueof183' real
@attribute 'valueof184' real
@attribute 'valueof185' real
@attribute 'valueof186' real
@attribute 'valueof187' real
@attribute 'valueof188' real
@attribute 'valueof189' real
@attribute 'valueof190' real
@attribute 'valueof191' real
@attribute 'valueof192' real
@attribute 'valueof193' real
@attribute 'valueof194' real
@attribute 'valueof195' real
@attribute 'valueof196' real
@attribute 'valueof197' real
@attribute 'valueof198' real
@attribute 'valueof199' real
@attribute 'valueof200' real
@attribute 'valueof201' real
@attribute 'valueof202' real
@attribute 'valueof203' real
@attribute 'valueof204' real
@attribute 'valueof205' real
@attribute 'valueof206' real
@attribute 'valueof207' real
@attribute 'valueof208' real
@attribute 'valueof209' real
@attribute 'valueof210' real
@attribute 'valueof211' real
@attribute 'valueof212' real
@attribute 'valueof213' real
@attribute 'valueof214' real
@attribute 'valueof215' real
@attribute 'valueof216' real
@attribute 'valueof217' real
@attribute 'valueof218' real
@attribute 'valueof219' real
@attribute 'valueof220' real
@attribute 'valueof221' real
@attribute 'valueof222' real
@attribute 'valueof223' real
@attribute 'valueof224' real
@attribute 'valueof225' real
@attribute 'valueof226' real
@attribute 'valueof227' real
@attribute 'valueof228' real
@attribute 'valueof229' real
@attribute 'valueof230' real
@attribute 'valueof231' real
@attribute 'valueof232' real
@attribute 'valueof233' real
@attribute 'valueof234' real
@attribute 'valueof235' real
@attribute 'valueof236' real
@attribute 'valueof237' real
@attribute 'valueof238' real
@attribute 'valueof239' real
@attribute 'valueof240' real
@attribute 'valueof241' real
@attribute 'valueof242' real
@attribute 'valueof243' real
@attribute 'valueof244' real
@attribute 'valueof245' real
@attribute 'valueof246' real
@attribute 'valueof247' real
@attribute 'valueof248' real
@attribute 'valueof249' real
@attribute 'valueof250' real
@attribute 'valueof251' real
@attribute 'valueof252' real
@attribute 'valueof253' real
@attribute 'valueof254' real
@attribute 'valueof255' real
@attribute 'class' { Cavalo, Nao_Cavalo}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,2,2,4,2,0,1,6,3,5,3,4,2,4,5,4,3,5,8,6,6,4,4,6,8,4,4,4,1,5,9,3,4,4,3,6,2,3,2,2,6,4,6,6,4,1,9,8,2,5,7,3,7,8,9,4,3,5,7,7,7,6,9,8,5,7,7,2,5,7,7,7,10,4,3,8,9,7,7,12,8,13,6,9,9,8,12,5,13,11,14,3,11,11,10,14,9,16,10,5,9,7,6,6,7,8,11,6,5,9,7,5,4,8,7,7,13,12,10,9,9,16,13,18,12,18,18,15,16,15,8,8,7,6,10,3,4,3,2,1,2,2,2,1,4,2,4,2,5,2,2,0,0,1,0,1,1,1,1,2,1,2,2,1,0,1,0,0,3,2,0,0,0,1,3,0,0,0,2,1,3,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cavalo
32,188,66,35,16,8,9,7,11,5,9,6,4,3,3,4,12,5,5,5,1,1,3,2,4,1,3,2,2,6,5,5,2,4,6,3,6,7,5,9,8,11,8,7,5,7,8,8,7,9,4,5,5,3,6,8,5,7,1,6,2,6,4,3,4,3,1,3,1,1,4,9,7,4,4,1,7,3,4,6,2,1,1,3,8,2,4,7,1,0,5,1,2,4,3,4,2,5,3,1,1,2,4,6,3,4,7,8,5,1,5,3,3,2,3,6,6,3,3,2,3,4,2,5,6,2,5,6,5,1,4,3,3,1,5,2,6,4,4,3,5,7,5,2,3,7,6,8,5,5,3,4,1,1,2,1,1,4,2,2,0,1,3,2,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cavalo
0,0,0,1,0,1,3,6,2,5,2,3,0,4,5,5,6,3,4,3,4,5,3,3,2,1,4,3,3,5,3,9,3,3,7,2,8,4,5,1,3,4,1,8,7,4,3,9,5,6,7,7,4,9,4,1,5,7,7,5,4,8,4,5,2,7,5,4,2,5,6,4,6,4,7,6,3,6,4,5,3,5,3,7,5,5,10,8,8,6,4,7,4,7,9,7,9,5,9,9,11,5,5,12,9,11,7,9,11,10,9,15,7,14,11,9,7,6,10,6,7,6,9,7,7,7,13,7,4,9,4,4,8,5,9,3,6,6,5,6,8,6,6,4,3,2,5,10,5,3,3,10,4,7,4,8,5,2,4,1,3,1,7,6,2,2,4,3,0,3,1,2,4,3,0,7,4,4,2,1,2,3,1,1,2,2,4,2,6,2,6,4,7,1,0,2,1,1,4,2,1,0,2,1,1,2,2,0,3,2,0,0,0,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,Cavalo
0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,1,2,4,3,2,3,3,2,0,5,2,3,3,0,3,2,6,1,1,7,4,6,3,2,11,9,11,15,11,24,25,42,31,28,19,24,16,25,14,14,7,3,9,7,4,6,7,8,9,5,7,5,6,3,5,7,4,3,4,5,7,9,3,5,6,6,3,6,3,3,7,5,9,9,4,6,10,7,8,10,4,8,8,8,8,7,15,7,10,10,5,7,6,9,6,12,5,9,15,5,9,7,13,5,7,11,7,5,3,3,5,1,4,3,4,3,1,2,6,2,1,3,1,3,5,1,3,3,2,1,0,3,3,4,0,1,5,4,3,0,2,2,1,2,6,2,1,1,3,4,1,0,1,0,3,2,1,1,4,1,2,2,0,2,0,1,1,0,0,2,0,1,0,0,0,0,0,1,0,3,2,0,0,1,1,3,0,0,0,1,2,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cavalo
0,0,0,0,1,1,4,7,26,15,11,12,20,14,14,10,9,8,10,4,3,11,6,4,3,1,5,4,2,4,4,4,4,2,4,3,3,8,3,3,1,2,3,4,6,3,4,4,2,3,4,3,5,4,11,5,7,6,3,8,16,10,10,10,9,10,5,17,5,10,8,13,15,14,11,9,8,5,13,10,6,9,6,11,15,7,10,5,2,5,5,4,4,4,7,4,7,4,3,5,2,6,3,1,1,5,1,3,4,5,4,1,6,5,6,5,7,1,4,3,4,4,2,0,4,2,11,3,3,6,11,7,7,8,8,6,4,5,7,11,4,2,4,1,2,4,7,6,1,4,3,3,3,0,4,4,4,1,1,2,4,0,3,0,4,1,2,2,1,1,0,1,4,2,2,2,1,1,1,1,2,0,0,2,2,0,1,2,1,1,2,0,3,3,1,3,1,1,3,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,5,1,0,4,1,3,0,1,2,1,2,1,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cavalo
0,0,0,0,0,2,6,12,7,6,5,3,5,4,5,2,3,4,4,5,2,2,3,0,3,1,3,2,4,2,8,3,4,3,6,4,2,6,4,2,5,2,2,5,6,4,6,2,3,3,6,5,7,4,8,4,7,7,5,5,4,7,4,5,4,4,6,3,10,7,6,6,6,6,6,1,9,5,3,3,9,5,4,4,2,5,4,2,3,6,8,5,4,3,5,6,3,5,4,5,3,1,4,3,3,1,8,8,5,3,10,6,10,4,7,1,4,1,4,7,9,3,7,4,9,3,3,6,8,4,13,6,5,5,10,8,7,7,4,8,12,5,12,7,7,15,6,13,9,8,6,11,10,8,10,8,3,6,14,8,4,5,9,5,8,13,5,19,11,4,7,12,3,10,9,7,6,7,6,4,3,7,1,1,5,5,1,2,2,2,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cavalo
0,0,0,1,0,4,0,0,0,0,5,0,0,3,0,0,0,0,4,2,0,3,0,0,0,4,0,0,6,5,0,4,6,4,0,3,3,3,3,0,0,7,4,9,0,3,0,0,6,4,0,4,0,3,0,9,2,6,4,4,0,5,0,2,3,10,0,4,0,4,5,0,11,7,0,6,8,2,0,4,0,14,5,0,2,8,0,6,4,0,9,4,2,5,5,8,0,6,0,4,0,6,8,4,2,3,4,3,0,11,0,6,4,4,4,6,3,1,11,4,7,3,0,0,12,3,8,7,0,0,0,0,7,4,0,4,7,0,4,6,0,9,0,9,0,4,8,6,0,22,0,0,10,14,16,11,4,25,4,0,26,0,4,18,3,44,6,0,22,5,3,28,2,53,3,0,21,16,4,17,2,18,0,0,36,0,0,32,0,17,0,0,17,0,0,8,0,10,0,0,13,0,0,4,0,6,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cavalo
0,0,0,0,0,0,0,0,1,0,4,4,3,5,6,6,3,3,3,4,3,2,1,6,5,5,1,3,2,0,1,6,4,0,2,1,4,1,4,5,0,2,1,2,3,5,4,3,6,1,8,7,10,3,7,4,3,4,4,7,5,2,6,4,5,8,2,7,6,8,7,5,7,11,11,9,16,18,11,20,14,19,15,14,23,24,22,24,25,25,24,19,23,24,26,20,19,24,18,18,11,16,11,9,2,7,12,7,3,7,3,6,4,7,3,12,7,3,1,2,10,8,6,3,1,3,6,2,1,4,4,5,3,2,3,5,1,4,1,2,2,2,2,2,2,1,1,2,1,3,0,0,2,0,1,1,1,1,1,2,0,0,1,1,2,1,1,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Cavalo
0,0,0,0,0,1,2,1,4,1,2,4,6,3,3,1,6,5,2,3,1,4,3,2,4,0,2,5,3,5,2,2,3,1,3,4,1,6,1,1,3,2,7,1,2,1,3,2,4,2,3,3,2,6,4,7,3,1,4,6,5,5,3,7,4,0,3,3,10,3,4,2,7,6,4,3,6,8,6,6,6,3,2,5,3,1,1,3,4,6,2,3,5,2,1,5,4,5,4,2,7,5,1,3,1,6,6,6,5,6,2,5,5,4,6,4,10,6,9,9,10,5,5,9,18,10,9,9,20,9,13,13,13,9,6,9,11,6,11,9,6,5,4,0,1,0,1,0,1,1,3,0,0,0,0,0,1,0,2,1,0,0,0,0,3,1,0,1,1,1,2,2,1,0,1,1,1,3,0,1,2,0,1,0,3,0,1,1,1,2,3,3,2,2,0,1,1,4,1,4,2,3,5,1,3,6,11,17,11,10,20,25,36,30,52,53,15,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cavalo
0,0,0,0,2,0,0,0,2,0,1,2,3,3,4,3,4,4,4,3,6,2,2,2,3,1,4,5,3,7,3,7,3,3,5,3,1,4,4,6,6,1,8,4,6,2,1,2,3,3,3,2,2,3,0,3,0,3,2,2,2,1,0,4,0,4,6,3,4,3,2,5,3,3,9,4,5,3,1,1,2,3,3,1,2,3,1,1,5,2,1,1,2,3,3,4,3,3,4,1,3,4,4,8,4,2,5,2,6,8,2,6,5,5,5,2,3,5,3,2,4,3,4,4,4,4,1,5,5,3,7,8,9,9,3,2,4,9,4,5,4,2,3,5,3,6,2,2,1,6,3,6,3,5,3,7,4,4,5,4,5,7,5,3,5,1,8,5,8,9,9,4,5,9,9,9,8,7,5,8,9,8,7,7,8,5,5,10,5,3,9,6,9,4,4,7,5,7,5,10,8,5,5,1,7,7,2,5,2,6,7,5,4,10,7,6,9,14,7,4,8,5,6,5,6,5,5,6,7,12,10,8,1,2,2,4,0,2,1,1,1,2,0,4,0,2,1,0,0,0,0,0,0,0,0,0,Cavalo
